Number,Autor,Publication,Title,Journal,IF,DOI,Article name,Formula,Cat. compound,Support,"Cat./Support ratio, % (at)",XRD noises,"Cu2O-110, %","Cu2O-111, %","Cu2O-200, %","Cu2O-220, %","Cu-111, %","Cu-200, %","Cu-220, %",Morphology (TEM/SEM),"Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),Crystal system,Simple cell,"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)",Facet,"Distance, nm",Facet,"Distance2, nm",Base,Electrodes,electrolyte,"conc, M",pH,RHE vs V,Product,"FE, %","Time, h","Current density, mA/cm2",Type of reactor," Energy efficiency, %",Сarbon efficiency (equivalent to single-pass carbon efficiency (SPCE),"Loading, μg/cm2","Capacitance, (uF/cm2)","ECSA, cm2",R,"BET surface, m2/g"
,,,,,,,,,, ,,,,,,,,,,0,1165,283.00,,283.00,541.00,,541.00,1126,1269,379.00,379.00,379.00,,,,,283,0,0,0,192,0.00,0,0.00,,331.00,283,,,,331.00,,,
2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.00,No,4.45,53.66,30.78,11.12,0.00,0.00,0.00,cubic,,459.50,810.75,1162.00,459.50,810.75,1162.00,Face-Centered Cubic (FCC),кубическая,0.00,100.00,0.00,200,0.22,200,0.22,glassy-carbon electrode,Ag/AgCl,KHCO3,0.1,6.8,-1.10,C2H4,45.60,,-2.93,H-cell,,,713.19,1010.00,,,
2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.00,No,4.45,53.66,30.78,11.12,0.00,0.00,0.00,cubic,,459.50,810.75,1162.00,459.50,810.75,1162.00,Face-Centered Cubic (FCC),тетрагональная,0.00,100.00,0.00,200,0.22,200,0.22,glassy-carbon electrode,Ag/AgCl,KHCO3,0.1,6.8,-1.10,H2,27.18,,-2.93,H-cell,,,713.19,1010.00,,,
2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.00,No,4.45,53.66,30.78,11.12,0.00,0.00,0.00,cubic,,459.50,810.75,1162.00,459.50,810.75,1162.00,Face-Centered Cubic (FCC),ромбическая или орторомбическая ,0.00,100.00,0.00,200,0.22,200,0.22,glassy-carbon electrode,Ag/AgCl,KHCO3,0.1,6.8,-1.10,CO,6.95,,-2.93,H-cell,,,713.19,1010.00,,,
2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.00,No,5.29,60.69,18.80,15.22,0.00,0.00,0.00,octahedron,,805.00,1204.00,1603.00,961.70,1276.40,1591.10,Face-Centered Cubic (FCC),моноклинная,0.00,100.00,0.00,110,0.3,111,0.25,glassy-carbon electrode,Ag/AgCl,KHCO3,0.1,6.8,-1.10,C2H4,19.71,,-2.69,H-cell,,,713.19,50.00,,,
2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.00,No,5.29,60.69,18.80,15.22,0.00,0.00,0.00,octahedron,,805.00,1204.00,1603.00,961.70,1276.40,1591.10,Face-Centered Cubic (FCC),триклинная,0.00,100.00,0.00,110,0.3,111,0.25,glassy-carbon electrode,Ag/AgCl,KHCO3,0.1,6.8,-1.10,H2,37.93,,-2.69,H-cell,,,713.19,50.00,,,
2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.00,No,5.29,60.69,18.80,15.22,0.00,0.00,0.00,octahedron,,805.00,1204.00,1603.00,961.70,1276.40,1591.10,Face-Centered Cubic (FCC),тригональная,0.00,100.00,0.00,110,0.3,111,0.25,glassy-carbon electrode,Ag/AgCl,KHCO3,0.1,6.8,-1.10,CO,12.48,,-2.69,H-cell,,,713.19,50.00,,,
2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.00,No,4.66,62.99,18.39,13.96,0.00,0.00,0.00,dodecahedron,,634.80,938.05,1241.30,634.80,938.05,1241.30,Face-Centered Cubic (FCC),гексагональная,0.00,100.00,0.00,110,0.3,110,0.3,glassy-carbon electrode,Ag/AgCl,KHCO3,0.1,6.8,-1.10,C2H4,30.27,,-2.55,H-cell,,,713.19,260.00,,,
2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.00,No,4.66,62.99,18.39,13.96,0.00,0.00,0.00,dodecahedron,,634.80,938.05,1241.30,634.80,938.05,1241.30,Face-Centered Cubic (FCC),,0.00,100.00,0.00,110,0.3,110,0.3,glassy-carbon electrode,Ag/AgCl,KHCO3,0.1,6.8,-1.10,H2,45.57,,-2.55,H-cell,,,713.19,260.00,,,
2,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.00,No,4.66,62.99,18.39,13.96,0.00,0.00,0.00,dodecahedron,,634.80,938.05,1241.30,634.80,938.05,1241.30,Face-Centered Cubic (FCC),,0.00,100.00,0.00,110,0.3,110,0.3,glassy-carbon electrode,Ag/AgCl,KHCO3,0.1,6.8,-1.10,CO,11.30,,-2.55,H-cell,,,713.19,260.00,,,
