,DOI,Article name,Formula,Cat. compound,Support,"Cat./Support ratio, % (at)",Morphology (TEM/SEM),"Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)",Base,electrolyte,"conc, M",pH,RHE vs V,Product,"FE, %","Time, h",Type of reactor
0,https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,No,100.0,cubic,0.0,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,45.6,1.0,H-cell
1,https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,No,100.0,cubic,0.0,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,27.18,1.0,H-cell
2,https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,No,100.0,cubic,0.0,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,6.95,1.0,H-cell
3,https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,No,100.0,octahedron,0.0,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,19.71,1.0,H-cell
4,https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,No,100.0,octahedron,0.0,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,37.93,1.0,H-cell
5,https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,No,100.0,octahedron,0.0,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,12.48,1.0,H-cell
6,https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,No,100.0,dodecahedron,0.0,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,30.27,1.0,H-cell
7,https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,No,100.0,dodecahedron,0.0,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,45.57,1.0,H-cell
8,https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,No,100.0,dodecahedron,0.0,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,11.3,1.0,H-cell
9,https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,No,100.0,polyhedron,0.0,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,34.91,1.0,H-cell
10,https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,No,100.0,polyhedron,0.0,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,34.43,1.0,H-cell
11,https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,No,100.0,polyhedron,0.0,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,10.04,1.0,H-cell
12,https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,No,100.0,cubic,0.0,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,C2H4,59.13,1.0,H-cell
13,https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,No,100.0,cubic,0.0,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,H2,20.19,1.0,H-cell
14,https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,No,100.0,cubic,0.0,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,CO,3.95,1.0,H-cell
