,Number,Autor,Publication,Title,Journal,IF,DOI,Article name,Formula,Cat. compound,Support,"Cat./Support ratio, % (at)",Morphology (TEM/SEM),"Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)",Base,electrolyte,"conc, M",pH,RHE vs V,Product,"FE, %","Time, h","Current density, mA/cm2",Type of reactor," Energy efficiency, %",Сarbon efficiency (equivalent to single-pass carbon efficiency (SPCE),"Loading, μg/cm2","Capacitance, (uF/cm2)","ECSA, cm2",R,"BET surface, m2/g"
0,,,,,,,,,,,,,0,1165.0,283.0,,283.0,541.0,,541.0,379.0,379.0,379.0,283,0,0.0,192.0,0.0,0,0.0,,331.0,283,,,,331.0,,,
1,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,45.6,,-2.93,H-cell,,,713.19,1010.0,,,
2,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,27.18,,-2.93,H-cell,,,713.19,1010.0,,,
3,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,6.95,,-2.93,H-cell,,,713.19,1010.0,,,
4,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,19.71,,-2.69,H-cell,,,713.19,50.0,,,
5,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,37.93,,-2.69,H-cell,,,713.19,50.0,,,
6,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,12.48,,-2.69,H-cell,,,713.19,50.0,,,
7,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,30.27,,-2.55,H-cell,,,713.19,260.0,,,
8,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,45.57,,-2.55,H-cell,,,713.19,260.0,,,
9,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,11.3,,-2.55,H-cell,,,713.19,260.0,,,
10,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,,100.0,polyhedron,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,C2H4,34.91,,-1.76,H-cell,,,713.19,340.0,,,
11,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,,100.0,polyhedron,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,H2,34.43,,-1.76,H-cell,,,713.19,340.0,,,
12,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,,100.0,polyhedron,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.1,CO,10.04,,-1.76,H-cell,,,713.19,340.0,,,
